"inconsistent-obs","violated-rule"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AF28-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AF4-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-V44-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-V45-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N45-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N46-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AH46-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AF47-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N47-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N48-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N49-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N50-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N51-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N52-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N53-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N54-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N55-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N56-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N57-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-N58-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
"http://lod.cedar-project.nl:8888/prices-wages/resource/gambia-wages-prices-welfare-ratio-S1-AF6-h","http://lod.cedar-project.nl:8888/linked-edit-rules/resource/priwa1"
